,"p, атм","T, K",t_exp,Δt_exp,t_calc,dT:Aramco13,dT:Aramco20,dT:Aramco30,dT:GriMech12,dT:GriMech30,dT:NUImech,dT:RAMEC,dT:Slavinskaya,dT:USCC1C3,dT:ZhukovC1C4,dT:ZhukovC1C7,dT:ZhukovKongCH4,OH:Aramco13,OH:Aramco20,OH:Aramco30,OH:GriMech12,OH:GriMech30,OH:NUImech,OH:RAMEC,OH:Slavinskaya,OH:USCC1C3,OH:ZhukovC1C4,OH:ZhukovC1C7,OH:ZhukovKongCH4
20,49.0,1534.0,44.0,1.0,28.0,51.590953890271514,52.66834607949098,53.01703781851152,39.043981278962434,28.359525481530035,47.35476694219443,39.013932016251765,69.86290686787356,33.10887024803635,40.07950716671062,40.07966663250032,41.45102282961611,52.1952872870766,53.26491948174198,53.61469415455201,39.752322163688646,29.11645559727549,47.90050061604423,39.801849633926544,70.09879064640306,33.864798743643455,40.86251002998271,40.86269955208072,41.799809865765596
21,50.0,1611.0,17.0,1.0,15.0,25.430144911705707,26.283489341833757,26.31540765527151,20.10129980553306,15.516784520880664,23.271477273823535,20.426323111107827,34.04185621525204,17.806476257145604,21.027307202786734,21.02674724777844,22.079932469450203,25.90112599736981,26.747140969736193,26.78214635794866,20.66324534685289,15.882184277654101,23.671576161086996,21.046625531942997,34.22877425919208,18.22281544661361,21.64097132798579,21.6420544850463,22.3364254758423
22,50.0,1466.0,79.0,6.0,49.0,97.62983609112115,98.2019788295553,99.32596196620644,70.83795684659961,48.674528870688654,89.36115402743869,69.33447502436039,131.7764923028239,57.718321049805134,71.06672448032508,71.06705487806964,72.53673249626776,98.36958310094484,98.93831821988364,100.06371537332181,71.6980579946637,49.702481163416124,90.05008700976563,70.30041851320145,132.0758634882214,58.74031091145358,72.02650330586202,72.0212619064915,511.4185904482055
23,148.0,1348.0,63.0,3.0,55.0,108.78952139999234,105.46753726257768,107.60409470887737,90.56826619817073,55.24213684749217,96.17144006181586,77.2471992949031,183.19080205649598,66.97137234929352,77.99815937630866,77.99815765718377,78.89845606100319,109.71514007630904,106.47944107618555,108.51872757655853,91.66667915821348,58.02728635803547,96.99400056593869,78.48353261975828,244.38166943399457,69.72762133814031,79.22699987934622,79.22758684340708,508.38190142021455
24,154.0,1454.0,21.0,2.0,20.0,38.628799128406975,38.196020991261925,38.60898511719439,31.97591127610263,20.641571750233503,34.835066827513664,29.922534839812382,66.67766772640253,24.660549328945578,30.396824580313947,30.39646528152518,30.94820782896039,39.21398725981991,38.82352349449859,39.186405940649756,32.70495278051477,25.073376940418793,35.36974331908118,30.738099227141426,79.36598368474912,64.96084008801948,31.208370063979835,31.211074391369756,526.1157646979225
25,170.0,1314.0,71.0,3.0,68.0,126.75810143008106,122.3844128309397,125.31404049860926,113.5663792171389,68.6754099702638,111.45501332339322,91.3183213706477,222.17062229604207,83.40233250172889,91.87881198160632,91.88178662574944,92.95789265841262,127.8475822882208,123.64841151883874,126.41231365686932,114.84447020081072,73.85134326477667,112.40933272450233,92.75449297621832,247.9676529597547,88.92792379466307,93.31448893496147,93.31267979028402,502.83576256049605
26,395.0,1353.0,26.0,4.0,23.0,32.5886535144576,31.781880748511067,32.49938603322849,37.47873548324953,22.701632689734236,29.51516469921138,28.80709093140314,72.0335499506057,27.222151382592585,28.786577893477922,28.78613591185649,29.210976118577637,33.62366843725345,506.66408823848377,33.593888303787,38.889210328052016,27.29943515288605,30.382572806550574,30.528641093976173,80.34710468103114,145.34789864554696,30.491731830740324,30.491698486031453,514.1011324188158
27,451.0,1196.0,75.0,6.0,107.0,92.94632919972038,91.33480068428075,94.59807598466597,173.02446974282887,111.92285595279212,89.13819178213535,104.54495703772254,203.7172917116755,134.67837609080576,104.04687782709729,104.04934424910208,107.06522087464252,95.98619120968183,511.0800275398734,97.93199948132464,212.49415011761658,120.25411337853409,91.34473207129817,172.11673713578688,218.859941969536,468.53943305115644,515.8775093046993,513.2293166436,502.9969338343778
28,2.93,1409.0,445.0,3.0,985.0,501.78012502873895,501.0921153237453,500.9104906174296,499.65414769885086,501.4300038701316,504.1903899346092,498.719494925675,502.3552903909205,499.3208954378259,499.3000893489639,503.6060275627199,500.67704362481226,505.1010240534527,505.06643259886795,501.86886461027933,502.64473949048795,503.61522496899806,509.8133406955523,501.70639926474496,504.9444214159361,501.64760649184626,501.3556186362234,507.6481241436092,502.81792199839606
29,3.16,1653.0,101.0,10.0,102.0,159.37578863681532,166.8174199324697,167.42680235940486,113.26970807937589,103.40122837426534,150.82895386911528,118.7903045977242,148.21757041265312,111.55359786936374,123.84575364925897,123.84845462422105,137.87702467347503,168.86775674539965,176.3309737982039,176.90648533513456,124.12352131344512,112.66994598951271,159.19221872280258,129.21252642864968,154.45543952855792,120.87897903369976,134.202903811433,134.37464103078207,151.18015912649227
